number,customer,description,price,country,url_addr,deadline
2019-726348,"ООО ""ВдМУ""",Поставка фасонных деталей для временных трубопроводов здания 10UMA энергоблока № 1  Белорусской АЭС,12 218 373.60,RUS,http://www.icetrade.by/tenders/all/view/726348,2019-07-05
2019-726347,"ООО ""ВдМУ""",Поставка запорной арматуры для временных трубопроводов систем здания турбины (10UMA) энергоблока № 1 Белорусской АЭС,16 838 810.99,RUS,http://www.icetrade.by/tenders/all/view/726347,2019-07-05
2019-726346,Управление по образованию администрации Фрунзенского района г. Минска,услуги по ремонту прачечного оборудования в учреждениях образования Фрунзенского района г. Минска,14 000,BLR,http://www.icetrade.by/tenders/all/view/726346,2019-07-10
2019-726345,"ОАО ""Гродногазстройизоляция""","Плитка тротуарная, бордюр",0,BLR,http://www.icetrade.by/tenders/all/view/726345,2019-07-01
2019-726344,Тюрьма № 4 управления ДИН МВД по Могилевской области,"Закупка картофеля поздних сортов, капусты кочанной поздних сортов, свеклы свежей поздних сортов, моркови свежей поздних сортов, лука репчатого поздних сортов",31 588,BLR,http://www.icetrade.by/tenders/all/view/726344,2019-07-22
2019-726343,Тюрьма № 4 управления ДИН МВД по Могилевской области,"Закупка картофеля ранних сортов, капусты кочанная ранних сортов, свеклы свежей ранних сортов, моркови свежей ранних сортов, лука репчатого ранних сортов",5 772,BLR,http://www.icetrade.by/tenders/all/view/726343,2019-07-11
2019-726342,"РУП ""Производственное объединение ""Белоруснефть""",Выполнение работ по устройству асфальтобетонных покрытий на объекте «Строительство ТП-2 на базе Тампонажного управления РУП «Производственное объединение «Белоруснефть». Корректировка»,31 558.06,BLR,http://www.icetrade.by/tenders/all/view/726342,2019-07-04
2019-726341,"ОАО ""Беларуськалий""","Закупка запасных частей  к шахтным вентиляторам HOWDEN, ВРЦД-4,5 и ВД-47,5",7,BLR,http://www.icetrade.by/tenders/all/view/726341,2019-07-08
2019-726340,"""Национальная антидопинговая лаборатория""","Расходные материалы и реактивы для научно-исследовательской работы, часть 1",0,BLR,http://www.icetrade.by/tenders/all/view/726340,2019-07-15
2019-726339,"Учреждение образования ""Гродненский государственный университет имени Янки Купалы""",Закупка столов и стульев ученических,18 900,BLR,http://www.icetrade.by/tenders/all/view/726339,2019-07-10
2019-726338,"СПК ""Свитязянка-2003""",Закупка культиватора-дискатора,72 000,BLR,http://www.icetrade.by/tenders/all/view/726338,2019-07-05
2019-726337,Солигорская ЦРБ,Закупка реагентов и расходных материалов  для исследований ЦКДЛ,0,BLR,http://www.icetrade.by/tenders/all/view/726337,2019-07-17
2019-726336,"РУП ""Гродноавтодор""",Барьерное ограждение,178 191,BLR,http://www.icetrade.by/tenders/all/view/726336,2019-07-01
2019-726334,"ОАО ""Гомельтранснефть Дружба""",Cтроительство объекта  «Строительство ВЛ-10кВ для электроснабжения  жилпоселка ЛПДС «Мозырь»,50 779,BLR,http://www.icetrade.by/tenders/all/view/726334,2019-07-09
2019-726333,"Управление по образованию, спорту и туризму Червенского районного исполнительного комитета",закупка«Компьютерного класса 12+1 на 2019 год»,17 000,BLR,http://www.icetrade.by/tenders/all/view/726333,2019-07-15
2019-726332,"ЗАО ""Гомельский ВСЗ""",оси РУ1Ш,437 158.13,BLR,http://www.icetrade.by/tenders/all/view/726332,2019-07-02
2019-726331,"КУМПП ЖКХ ""Столинское ЖКХ""",Выбор подрядной организации,59 428,BLR,http://www.icetrade.by/tenders/all/view/726331,2019-07-04
2019-726330,"УП ""Медтехника"" г. Гродно","ГродМТ № 076/19-ПЭА «Катетеры медицинские хирургические, переходники для дренажных систем, комплект для трансдермального дренажа» для Учреждений здравоохранения г. Гродно и Гродненской области (лот 34, 35)",0,BLR,http://www.icetrade.by/tenders/all/view/726330,2019-07-10
2019-726329,Ивацевичский районный исполнительный комитет,"Услуга по текущему ремонту на объекте «Текущий ремонт по замене окон из ПВХ профиля в малом зале здания РИК по ул. Ленина, д. 44, г. Ивацевичи»",6 500,BLR,http://www.icetrade.by/tenders/all/view/726329,2019-07-02
2019-726328,ИК №9 управления ДИН МВД по Могилевской области,Закупка капусты белокочанной поздних сортов для длительного хранения,10 500,BLR,http://www.icetrade.by/tenders/all/view/726328,2019-07-10
2019-726327,Министерство образования Республики Беларусь,"Разработка программного обеспечения функционирования административных процедур, осуществляемых в электронной форме через Единый портал электронных услуг общегосударственной автоматизированной системы",160 000,BLR,http://www.icetrade.by/tenders/all/view/726327,2019-07-24
2019-726326,Кинологический центр ВС РБ,Кабельная продукция,0,BLR,http://www.icetrade.by/tenders/all/view/726326,2019-07-10
2019-726325,"Государственное предприятие ""УКС Борисовского района""","Выбор подрядной (генподрядной) организации на выполнение строительно-монтажных работ по объекту ""Капитальный ремонт с модернизацией здания Дворца культуры имени М.Горького по пр. Революции, 49 в г. Борисове. III очередь""",2 025 644.90,BLR,http://www.icetrade.by/tenders/all/view/726325,2019-07-11
2019-726324,"Государственное предприятие ""Жилищное коммунальное хозяйство Ленинского района г. Минска""",Выбор подрядных организаций для выполнения строительно-монтажных работ на объектах строительства,201 928,BLR,http://www.icetrade.by/tenders/all/view/726324,2019-07-08
2019-726323,"Управление по образованию, спорту и туризму Червенского районного исполнительного комитета",выбор подрядной организации по установке систем молниезащиты в здании школы и столовой ГУО «Средняя школа №2 г.Червеня».,11 166,BLR,http://www.icetrade.by/tenders/all/view/726323,2019-07-10
2019-726322,"Учреждение образования ""Гродненский государственный университет имени Янки Купалы""",Закупка электрических плит,11 000,BLR,http://www.icetrade.by/tenders/all/view/726322,2019-07-10
2019-726321,"ОАО ""Стройтрест №7""","Закупка №203 - Музей - сантехпосуда, клапаны, труба металлополимер, шкафы пожарные, стальные радиаторы",27 362.64,BLR,http://www.icetrade.by/tenders/all/view/726321,2019-07-01
2019-726320,Брестский ОПТД,продукты питания,99 863.27,BLR,http://www.icetrade.by/tenders/all/view/726320,2019-07-15
2019-726319,"Коммунальное унитарное предприятие ""Гомельский городской дорожный строительно-ремонтный трест""",Закупка легкового автомобиля,36 500,BLR,http://www.icetrade.by/tenders/all/view/726319,2019-07-04
2019-726318,Солигорская ЦРБ,Закупка реагентов и расходных материалов для исследований КВД,0,BLR,http://www.icetrade.by/tenders/all/view/726318,2019-07-16
2019-726317,"Гомельское республиканское унитарное предприятие электроэнергетики ""Гомельэнерго""",Услуги по предоставлению прав пользования и технической поддержки программного обеспечения CheckPoint,34 000,BLR,http://www.icetrade.by/tenders/all/view/726317,2019-07-05
2019-726316,БГУ,Система видеоконференцсвязи (для двух залов),190 000,BLR,http://www.icetrade.by/tenders/all/view/726316,2019-07-01
2019-726315,"Открытое акционерное общество ""Мозырьпромстрой""",Закупка КНС очищенных дождевых стоков для строительства объекта,83 578.80,BLR,http://www.icetrade.by/tenders/all/view/726315,2019-07-25
2019-726314,СИЗО №3 управления ДИН МВД по Гомельской области,Закупку капусты кочанной ранних сортов (урожая 2019 года),1 920,BLR,http://www.icetrade.by/tenders/all/view/726314,2019-07-12
2019-726313,Территориальный центр социального обслуживания населения Калинковичского района,Текущий ремонт системы канализации и водоснабжения,8 988.82,BLR,http://www.icetrade.by/tenders/all/view/726313,2019-07-10
2019-726312,"КУП ""МИНСКХЛЕБПРОМ""",Наполнитель пищевой маковый,0,BLR,http://www.icetrade.by/tenders/all/view/726312,2019-07-02
2019-726311,"Коммунальное производственное унитарное предприятие ""Гомельское городское ЖКХ""",Замена (модернизация) пассажирских лифтов в жилых домах,176 400,BLR,http://www.icetrade.by/tenders/all/view/726311,2019-07-25
2019-726310,"Унитарное предприятие ""Брестский рынок""",Замена оконных блоков в количестве 30 штук.,23 000,BLR,http://www.icetrade.by/tenders/all/view/726310,2019-07-04
2019-726309,"Гомельское республиканское унитарное предприятие электроэнергетики ""Гомельэнерго""",Услуги по предоставлению прав пользования программным обеспечением Microsoft,120 000,BLR,http://www.icetrade.by/tenders/all/view/726309,2019-07-05
2019-726308,"СУ-168 ОАО ""Стройтрест №7""",Закупка фанеры для опалубки,0,BLR,http://www.icetrade.by/tenders/all/view/726308,2019-07-01
2019-726307,"ОАО ""Отор""","комплект оборудования с монтажом, пусконаладочными работами, обучением персонала для поэтапной модернизации доильной установки ""Елочка 2x12""",0,BLR,http://www.icetrade.by/tenders/all/view/726307,2019-07-02
